time_s,vehicle_id,soc_wh,max_cap_wh,consumption_wh,charging_flag,soc_pct
65.0,ev_0,17400.58,35000.0,0.0,NULL,49.72
65.0,ev_1,17476.7,35000.0,0.0,NULL,49.93
65.0,ev_2,17412.78,35000.0,0.0,NULL,49.75
65.0,ev_3,17419.23,35000.0,0.0,NULL,49.77
65.0,ev_4,17421.89,35000.0,0.0,NULL,49.78
65.0,ev_5,17444.19,35000.0,0.0,NULL,49.84
65.0,ev_6,17427.35,35000.0,0.0,NULL,49.79
65.0,ev_7,17448.67,35000.0,0.0,NULL,49.85
66.0,ev_0,17402.54,35000.0,0.0,NULL,49.72
66.0,ev_1,17474.66,35000.0,0.0,NULL,49.93
66.0,ev_2,17407.04,35000.0,0.0,NULL,49.73
66.0,ev_3,17416.68,35000.0,0.0,NULL,49.76
66.0,ev_4,17423.56,35000.0,0.0,NULL,49.78
66.0,ev_5,17445.25,35000.0,0.0,NULL,49.84
66.0,ev_6,17430.87,35000.0,0.0,NULL,49.8
66.0,ev_7,17444.87,35000.0,0.0,NULL,49.84
67.0,ev_0,17401.65,35000.0,0.0,NULL,49.72
67.0,ev_1,17469.11,35000.0,0.0,NULL,49.91
67.0,ev_2,17406.88,35000.0,0.0,NULL,49.73
67.0,ev_3,17416.12,35000.0,0.0,NULL,49.76
67.0,ev_4,17418.57,35000.0,0.0,NULL,49.77
67.0,ev_5,17447.8,35000.0,0.0,NULL,49.85
67.0,ev_6,17425.08,35000.0,0.0,NULL,49.79
67.0,ev_7,17448.48,35000.0,0.0,NULL,49.85
68.0,ev_0,17400.82,35000.0,0.0,NULL,49.72
68.0,ev_1,17464.41,35000.0,0.0,NULL,49.9
68.0,ev_2,17408.19,35000.0,0.0,NULL,49.74
68.0,ev_3,17414.77,35000.0,0.0,NULL,49.76
68.0,ev_4,17421.61,35000.0,0.0,NULL,49.78
68.0,ev_5,17442.82,35000.0,0.0,NULL,49.84
68.0,ev_6,17427.97,35000.0,0.0,NULL,49.79
68.0,ev_7,17444.92,35000.0,0.0,NULL,49.84
69.0,ev_0,17394.26,35000.0,0.0,NULL,49.7
69.0,ev_1,17453.76,35000.0,0.0,NULL,49.87
69.0,ev_2,17403.39,35000.0,0.0,NULL,49.72
69.0,ev_3,17416.01,35000.0,0.0,NULL,49.76
69.0,ev_4,17414.94,35000.0,0.0,NULL,49.76
69.0,ev_5,17441.84,35000.0,0.0,NULL,49.83
69.0,ev_6,17425.51,35000.0,0.0,NULL,49.79
69.0,ev_7,17447.03,35000.0,0.0,NULL,49.85
70.0,ev_0,17396.68,35000.0,0.0,NULL,49.7
70.0,ev_1,17440.33,35000.0,0.0,NULL,49.83
70.0,ev_2,17408.3,35000.0,0.0,NULL,49.74
70.0,ev_3,17412.69,35000.0,0.0,NULL,49.75
70.0,ev_4,17413.01,35000.0,0.0,NULL,49.75
70.0,ev_5,17440.76,35000.0,0.0,NULL,49.83
70.0,ev_6,17428.89,35000.0,0.0,NULL,49.8
70.0,ev_7,17447.13,35000.0,0.0,NULL,49.85
71.0,ev_0,17398.06,35000.0,0.0,NULL,49.71
71.0,ev_1,17440.05,35000.0,0.0,NULL,49.83
71.0,ev_2,17407.21,35000.0,0.0,NULL,49.73
71.0,ev_3,17411.53,35000.0,0.0,NULL,49.75
71.0,ev_4,17412.41,35000.0,0.0,NULL,49.75
71.0,ev_5,17442.51,35000.0,0.0,NULL,49.84
71.0,ev_6,17423.08,35000.0,0.0,NULL,49.78
71.0,ev_7,17443.43,35000.0,0.0,NULL,49.84
72.0,ev_0,17396.95,35000.0,0.0,NULL,49.71
72.0,ev_1,17438.15,35000.0,0.0,NULL,49.82
72.0,ev_2,17403.65,35000.0,0.0,NULL,49.72
72.0,ev_3,17407.16,35000.0,0.0,NULL,49.73
72.0,ev_4,17412.97,35000.0,0.0,NULL,49.75
72.0,ev_5,17439.73,35000.0,0.0,NULL,49.83
72.0,ev_6,17421.54,35000.0,0.0,NULL,49.78
72.0,ev_7,17439.73,35000.0,0.0,NULL,49.83
73.0,ev_0,17394.26,35000.0,0.0,NULL,49.7
